Company Name,Sum of Funding Amt (USD millions),Homepage,domain,legalName,tags,description,foundedYear,category.subIndustry,category.industry,metrics.employees,metrics.employeesRange,metrics.estimatedAnnualRevenue,metrics.raised,linkedin.handle,twitter.handle,crunchbase.handle,logo,Location
Zhipu,340,https://www.zhipuai.cn,zhipuai.cn,"Beijing Zhipu Huazhang Technology Co., Ltd.","['Artificial Intelligence (AI)', 'Data Integration', 'Machine Learning', 'Software', 'B2C']","Zhipu AI is an artificial intelligence company with the mission of teaching machines to think like humans. Our world-leading AI team has developed the cutting-edge large language and multimodal models (e.g., ChatGLM, GLM-130B, CodeGeeX, CogVLM, and CogView) and built the high-precision billion-scale knowledge graphs, the combination of which uniquely empowers us to create a powerful data- and knowledge-driven cognitive engine towards AGI.",2019,Internet,Software & Computer Services,126,51-200,$10M-$50M,400000000,company/zhipuai,,organization/zhipu-ai,http://logo.bigpicture.io/logo/zhipuai.cn,"Haidian, Beijing, China"
Lambda,320,https://lambdalabs.com,lambdalabs.com,"Lambda, Inc.","['B2B', 'Artificial Intelligence (AI)', 'Cloud Computing', 'GPU', 'Hardware', 'Machine Learning', 'Software', 'B2C']","Lambda provides computation to accelerate human progress. We're a team of Deep Learning engineers building the world's best GPU cloud, clusters, servers, and workstations. Our products power engineers and researchers at the forefront of human knowledge. Customers include Intel, Microsoft, Google, Amazon Research, Tencent, Kaiser Permanente, MIT, Stanford, Harvard, Caltech, Los Alamos National Lab, Disney, and the Department of Defense.",2012,Software,Software & Computer Services,394,201-500,,932205501,company/lambda-labs,LambdaAPI,organization/lambda-labs,http://logo.bigpicture.io/logo/lambdalabs.com,"San Jose, California, United States of America"
DeepL,300,https://www.deepl.com,deepl.com,DeepL SE,"['Artificial Intelligence (AI)', 'Generative AI', 'Machine Learning', 'Software', 'Translation Service', 'B2C']","Since 2017, we’ve helped businesses and individuals thrive with the use of our AI translator. Our team of engineers, researchers, and language specialists has only expanded, enabling us to create even more solutions and tools to help you and your team succeed. With 30+ languages and counting, our portfolio of products includes a web translator, browser extensions, desktop and mobile apps, an API, and an AI writing tool, DeepL Write. We are constantly expanding our offerings to suit your organization’s needs, continuously improving our technology while leading the way in AI sphere, and always prioritizing data protection and security.",2017,Software,Software & Computer Services,1183,1K-5K,$100M-$250M,400000000,company/linkedin-com-company-deepl,DeepLcom,organization/linguee,http://logo.bigpicture.io/logo/deepl.com,"Koeln, Nordrhein-Westfalen, Germany"
Baichuan,300,https://www.baichuan-ai.com,baichuan-ai.com,"Beijing Baichuan Intelligent Technology Co., Ltd.","['Artificial Intelligence (AI)', 'Generative AI', 'Information Services', 'Software']","Beijing Baichuan AI Technology Co. Ltd. operates artificial intelligence technology development businesses. The Company develops artificial intelligence public data platforms, artificial intelligence benchmark testing platforms, and other products. Beijing Baichuan AI Technology conducts businesses in China.",2023,Computer Services,Software & Computer Services,31,11-50,$1M-$10M,350000000,company/baichun-ai,,organization/baichuan-intelligence,http://logo.bigpicture.io/logo/baichuan-ai.com,"Beijing, China"
Cyera,300,https://www.cyera.io,cyera.io,Cyera US Inc.,"['Artificial Intelligence (AI)', 'Cloud Data Services', 'Cloud Security', 'Cyber Security', 'B2B']","Know your data. Keep it secure. Awards and accolades: 2023 Data Security Platform of the Year - Data Breakthrough Awards 2023 Cloud Data Security Product of the year - Cloud Computing Magazine 2022 Best Data Security Solution - CISO Choice Awards Cyera at a glance: Cyera is the data security company that gives businesses context and control over their most valuable asset: data. As a pioneer in Data Security Posture Management (DSPM), Cyera instantly provides companies visibility over all of their sensitive data, context over the risk it represents & their security exposure, and automated remediation to reduce the attack surface and ensure operational resilience. We are redefining the way companies secure their data. How Cyera is different: Cyera takes a data-centric approach to security, assessing the exposure to your sensitive data, everywhere. Our DataGraph automatically and continuously learns from your environment, assessing your threat surface, data access, and security controls across multiple dimensions of risk. Because Cyera applies deep data context holistically across your data landscape, we are the only solution that can empower security teams to know where their data is, what exposes it to risk, and take immediate action to remediate exposures and assure compliance without disrupting the business. Why your business needs Cyera: Mass migration to multi-cloud and work from anywhere has broken traditional security. It has never been easier for siloed projects, rapid dev cycles, or human error to result in a data breach or ransomware attack. Cyera dynamically develops deep context about the sensitive data across your hybrid cloud landscape, assessing your threat surface, data access, and security controls and quickly remediating exposures to your most valuable & vulnerable data. Case Studies: Healthcare - https://www.cyera.io/use-case/healthcare Finance - https://www.cyera.io/use-case/finance Tech - https://www.cyera.io/use-case/technology",2021,,Software & Computer Services,282,201-500,,464500000,company/cyera,cyera_io,organization/cyera,http://logo.bigpicture.io/logo/cyera.io,"New York, United States of America"
Generate Biomedicines,273,https://generatebiomedicines.com,generatebiomedicines.com,"Generate Biomedicines, Inc.","['Biotechnology', 'Health Care', 'Medical', 'Product Research', 'B2B']",Pioneering generative biology to create breakthrough therapeutics.,2018,,Pharmaceuticals & Biotechnology,351,201-500,,693000000,company/generate-biomedicines,generate_biomed,organization/generate-biomedicines,http://logo.bigpicture.io/logo/generatebiomedicines.com,"Somerville, Massachusetts, United States of America"
Augment,252,https://www.augment.co,augment.co,Augment AI Corp,"['B2C', 'Artificial Intelligence (AI)', 'Productivity Tools']","Augment amplifies productivity and simplifies lives through a first-of-its-kind context-aware AI. It learns who and what's important to you, and how you like to work, in order to make you smarter and more productive. It becomes an extension of you, enabling you to be the most efficient version of yourself, all alongside the apps you know and love. We’re a fast-growing startup still operating in stealth backed by Flying Fish, JazzVP, Incisive Ventures & the Allen Institute for Artificial Intelligence. We’re hiring engineers and designers! Apply now at www.augment.co/careers Sign up to be the first to get your hands on our product - www.augment.co Read more about Augment in these media articles: https://www.fastcompany.com/90790402/augment-ai-assistant-siri-alex-google-assistant https://techcrunch.com/2022/09/20/augments-personalized-ai-assistant-could-help-you-keep-track-of-a-scattered-digital-life/ https://www.geekwire.com/2022/stealthy-ai2-spinout-led-by-napster-co-founder-unveils-ai-powered-sidekick/ https://www.geekwire.com/2022/napster-co-founder-leads-secretive-seattle-startup-that-just-raised-3-5m-to-supercharge-productivity/ and check out our ideas: https://blog.augment.co Follow us on social media: https://twitter.com/augmentai https://www.facebook.com/augmentco",2021,Software,Software & Computer Services,11,11-50,$1M-$10M,3450000,company/augmentco,augmentai,organization/augment-ai-corp,http://logo.bigpicture.io/logo/augment.co,"Seattle, Washington, United States of America"
Perplexity,250,https://www.perplexity.ai,perplexity.ai,"Perplexity AI, Inc.","[‘Artificial Intelligence (AI)’, ‘Search Engine Tool’]",Perplexity AI develops advanced AI-powered search and question-answering technologies.,2022,Search Technology,Artificial Intelligence,50,11-50,,,company/perplexity-ai,,organization/perplexity-ai,,"San Francisco, California, United States"
Rivos,250,https://www.rivosinc.com,rivosinc.com,Rivos Inc.,"['Hardware', 'Industrial Manufacturing', 'Manufacturing', 'Web Hosting']","Rivos, a high performance RISC-V System Startup targeting integrated system solutions for Enterprise",2021,Computer Hardware,Technology Hardware & Equipment,330,201-500,,250000000,company/rivos-inc,,organization/rivos-inc,http://logo.bigpicture.io/logo/rivosinc.com,"Santa Clara, California, United States of America"
Divergent Technologies,230,https://www.divergent3d.com,divergent3d.com,Divergent 3D,"[‘B2B’, ‘Software’]","Divergent has created the world's first end-to-end software-hardware production system for industrial digital manufacturing – the Divergent Adaptive Production System (DAPS™) – allowing customers to design, additively manufacture, and automatically assemble complex structures for automotive, aerospace, and defense applications. DAPS transforms the economics and environmental impact of manufacturing complex structures for vehicles of all types by optimizing designs, dematerializing structures, and eliminating upfront capex.",2013,Internet,Software & Computer Services,351,201-500,,,company/divergent3d,,organization/divergent3d,http://logo.bigpicture.io/logo/divergent3d.com,"Torrance, California, United States of America"
Rebellions,224,https://rebellions.ai,rebellions.ai,Rebellions Inc,"['Artificial Intelligence (AI)', 'Machine Learning', 'Semiconductor', 'Software']",Enabling the Accelerated Generative AI at Scale,2020,Semiconductors,Technology Hardware & Equipment,126,51-200,$10M-$50M,212409546,company/rebellions-ai,,organization/rebellions-ai,http://logo.bigpicture.io/logo/rebellions.ai,"San Jose, California, United States of America"
Helsing,223,https://helsing.ai,helsing.ai,Helsing GmbH,"['Artificial Intelligence (AI)', 'Information Technology', 'Military', 'Software', 'B2G']","Helsing is a new type of security and artificial intelligence company. We believe that software – and, in particular, artificial intelligence – will be the key capability to keep liberal democracies from harm. Our ambition is to achieve global technology leadership in real-time information processing, turning unstructured sensor data into information advantage for democratic governments. Our platform aims to provide the clearest picture possible in any operating environment. We’re looking for people with their heart in the right place, who share our conviction that liberal democratic values are worth protecting, for ourselves and for future generations.",2021,Software,Software & Computer Services,351,201-500,$50M-$100M,341115700,company/helsing,HelsingAI,organization/helsing,http://logo.bigpicture.io/logo/helsing.ai,"Berlin, Germany"
H (fka Holistic AI),220,https://www.holisticai.com,holisticai.com,Holistic AI Inc,"['Artificial Intelligence (AI)', 'Compliance', 'Risk Management', 'Software', 'B2G', 'B2B']","Holistic AI empowers enterprises to adopt and scale AI with transparency, accountability, and safety. Its comprehensive and modular AI Governance platform serves as the single source of truth on AI usage across organizational use-cases, helping mitigate risks, reduce time to value on AI projects, and improve performance baselines. With role-based dashboards for risk posture management, automated workflows, AI discovery and inventory, the platform empowers enterprises to create, operate, and innovate confidently while ensuring regulatory compliance.",2020,Software,Software & Computer Services,126,51-200,$10M-$50M,,company/holisticai,,organization/holistic-ai,http://logo.bigpicture.io/logo/holisticai.com,"London, England, United Kingdom"
Imbue,212,https://imbue.com,imbue.com,"Generally Intelligent, Inc.","['Artificial Intelligence (AI)', 'Generative AI', 'Machine Learning', 'Robotics']","We build AI systems that can reason, in order to enable AI agents that can accomplish larger goals and safely work for us in the real world. To do this, we train foundation models optimized for reasoning. On top of our models, we prototype agents to accelerate our own work, seriously using them in order to shed light on how to improve the underlying model capabilities, as well as the interaction design for agents. We aim to rekindle the dream of the *personal* computer—for computers to be truly intelligent tools that empower us, giving us freedom, dignity, and agency to do the things we love.",2021,Software,Software & Computer Services,70,51-200,,232000000,company/imbue-ai,genintelligent,organization/generally-intelligent,http://logo.bigpicture.io/logo/imbue.com,"San Francisco, California, United States of America"
Together AI,206,https://www.together.ai,together.ai,Together Computer Inc,"['Artificial Intelligence (AI)', 'Generative AI', 'Internet', 'IT Infrastructure', 'Open Source', 'B2G']","Together AI is a research-driven artificial intelligence company. We contribute leading open-source research, models, and datasets to advance the frontier of AI. Our decentralized cloud services empower developers and researchers at organizations of all sizes to train, fine-tune, and deploy generative AI models. We believe open and transparent AI systems will drive innovation and create the best outcomes for society.",2022,Software,Software & Computer Services,126,51-200,,228500000,company/togethercomputer,togethercompute,organization/together-1a7e,http://logo.bigpicture.io/logo/together.ai,"San Francisco, California, United States of America"
The DNEG Group,200,https://www.dneg.com,dneg.com,Double Negative Limited,"['B2B', 'Advertising', 'Digital Entertainment', 'Film', 'Motion Capture', 'B2C']","DNEG is a world-leading visual entertainment services company for the creation of feature film, television, and multiplatform content, with worldwide offices and studios across North America, Europe, Asia, and Australia. DNEG’s critically acclaimed work has earned the company seven Academy Awards® for Best Visual Effects and numerous BAFTA, Primetime EMMY® Awards and VES Awards for its high-quality VFX work. Visit www.dneg.com for DNEG’s current and upcoming projects on behalf of Hollywood and global studio and production company.",1998,Broadcasting & Entertainment,Media,6244,5K-10K,,850000000,company/dnegvfx,dneg,organization/double-negative,http://logo.bigpicture.io/logo/dneg.com,"Fitzrovia, London, United Kingdom"
Glean,200,https://www.glean.com,glean.com,"Glean Technologies, Inc.","['Artificial Intelligence (AI)', 'Generative AI', 'Machine Learning', 'SaaS', 'Search Engine', 'B2C']","Generative AI powered by search. Glean is the AI-powered work assistant— across all your company's data. 🔍 Answers grounded in your enterprise knowledge graph. 🔒 Responsible AI for your enterprise. ⚡ Easy to use, ready to go— right out of the box.",2019,Software,Software & Computer Services,520,501-1K,$100M-$250M,358200000,company/gleanwork,glean,organization/scio-technologies,http://logo.bigpicture.io/logo/glean.com,"Palo Alto, California, United States of America"
Waabi,200,https://waabi.ai,waabi.ai,Waabi Innovation Inc.,"['Artificial Intelligence (AI)', 'Automotive', 'Autonomous Vehicles', 'Machine Learning', 'B2B']","Waabi, founded by AI pioneer and visionary Raquel Urtasun, is an AI company building the next generation of self-driving technology. With a world class team and an innovative approach that unleashes the power of AI to “drive” safely in the real world, Waabi is bringing the promise of self-driving closer to commercialization than ever before. Waabi is backed by best-in-class investors across the technology, logistics and the Canadian innovation ecosystem, including Khosla Ventures, Uber, 8VC, Radical Ventures, OMERS Ventures and BDC Capital’s Women in Technology Venture Fund. To learn more visit: waabi.ai Press: press@waabi.ai Business: partnership@waabi.ai",2021,Trucking,Industrial Transportation,126,51-200,,282553410,company/waabi,Waabi_ai,organization/waabi,http://logo.bigpicture.io/logo/waabi.ai,"Toronto, Ontario, Canada"
Abridge,180,https://www.abridge.com,abridge.com,Abridge AI Inc.,"['Artificial Intelligence (AI)', 'Clinical Trials', 'Health Care', 'Machine Learning', 'Medical', 'B2C', 'B2B']","Abridge was founded in 2018 with the mission of powering deeper understanding in healthcare. Our AI-powered platform was purpose-built for medical conversations, improving clinical documentation efficiencies while enabling clinicians to focus on what matters most—their patients. Our enterprise-grade technology transforms patient-clinician conversations into structured clinical notes in real-time, with deep EMR integrations. Powered by Linked Evidence and our purpose-built, auditable AI, we are the only company that maps AI-generated summaries to ground truth, helping providers quickly trust and verify the output. As pioneers in generative AI for healthcare, we are setting the industry standards for the responsible deployment of AI across health systems.",2018,Health Care Providers,Health Care Equipment & Services,126,51-200,,207500000,company/abridgehq,AbridgeHQ,organization/abridge-d1a4,http://logo.bigpicture.io/logo/abridge.com,"Pittsburgh, Pennsylvania, United States of America"
Celestial AI,175,https://www.celestial.ai,celestial.ai,Celestial AI Inc.,"['Artificial Intelligence (AI)', 'Data Center', 'Machine Learning', 'Semiconductor', 'Software', 'B2B']","Celestial AI is the creator of the Photonic Fabric™ technology platform. For additional information, please visit https://www.celestial.ai.",2020,Semiconductors,Technology Hardware & Equipment,126,51-200,$10M-$50M,338874997,company/celestial-ai,celestialaiinc,organization/inorganic-intelligence,http://logo.bigpicture.io/logo/celestial.ai,"Santa Clara, California, United States of America"
Urbanic,150,https://www.urbanic.com,urbanic.com,Urbanic London Ltd,"['B2C', 'E-Commerce', 'Fashion', 'Mobile Apps']","Urbanic is a global fashion company headquartered in London, committed to balancing creativity and sustainability through the use of advanced technology. Since our inception, we have been committed to empowering consumers with top-notch fashion that blends innovation and social responsibility. We are recognized as one of the most rapidly expanding fashion retailers in key emerging markets. We invite you to be part of our journey to reshape the fashion landscape by fostering creativity, embracing technology, and promoting sustainability. Urbanic - We are because you are.",2019,Apparel Retailers,General Retailers,751,501-1K,$50M-$100M,150000000,company/urbanic-global,Urbanicofficial,organization/urbanic,http://logo.bigpicture.io/logo/urbanic.com,"London, England, United Kingdom"
Shield AI,150,https://shield.ai,shield.ai,"Shield AI, Inc.","['Artificial Intelligence (AI)', 'Autonomous Vehicles', 'Drones', 'Machine Learning', 'National Security', 'B2C']","Founded in 2015, Shield AI is a venture-backed defense technology company whose mission is to protect service members and civilians with intelligent systems. In pursuit of this mission, Shield AI is building the world’s best AI pilot. Its AI pilot, Hivemind, has flown a fighter jet (F-16), a vertical takeoff and landing drone (V-BAT), and a quadcopter (Nova). Shield AI’s products and people are currently in the field actively supporting operations with the U.S. Department of Defense and U.S. allies. Backed by top-tier Silicon Valley VC funds, Shield AI has established itself as the leader in AI for aviation. Shield AI has been named to Forbes’ AI 50 and Best Startups lists, CB Insights Top 100 AI Companies, and Fast Company’s Most Innovative Companies. The company has offices and facilities in San Diego, Dallas, Washington, D.C. and Abu Dhabi. We're hiring: https://shield.ai/careers-overview/",2015,Software,Software & Computer Services,751,501-1K,,1073144999,company/shield-ai,shieldaitech,organization/shield-ai,http://logo.bigpicture.io/logo/shield.ai,"San Diego, California, United States of America"
Kore.ai,150,https://kore.ai,kore.ai,"Kore.ai, Inc.","['Artificial Intelligence (AI)', 'Chatbot', 'Collaboration', 'Enterprise Software', 'Generative AI', 'Machine Learning', 'Natural Language Processing', 'B2B']","At Kore.ai, we're rewriting the rules of AI to reshape how we experience the world. Our journey began in the early 2010s when Raj, our visionary CEO, saw a transformative opportunity in the rise of messaging apps and enterprise platforms. With a passion for automating and enhancing human-machine interactions, Raj and his team set out to create the world's leading conversational AI technology platform. Over time, Kore.ai became the trusted partner of over 400 global enterprises, delivering exceptional automation and customer engagement. We're proud to have earned accolades from technology analysts and built a network of 200 global partners. Kore.ai has been the market leader in conversational and generative AI for five consecutive years. But success was never an endpoint for us. We believe the potential is vast, especially with GenAI and Conversational AI converging. So we asked ourselves, ""Are we done yet?"" The answer: ""Not by a long shot."" With nearly a decade of experience, we're on a new journey to unlock the power of GenAI and Conversational AI together to define the future of experience. Today, Kore.ai stands as a trusted partner and technology provider for Global 2000 enterprises, with 10+ global offices. We assist companies in harnessing the potential of conversational and generative AI-driven assistants, all while upholding our core values of innovation, customer centricity, diversity, and fun within our global teams. Join us on our journey to shape the future of technology under the leadership of our CEO, Raj. Together, we can redefine the way the world experiences AI. Discover the extraordinary at Kore.ai.",2013,Software,Software & Computer Services,1055,1K-5K,,223500000,company/kore-inc,koredotai,organization/kore-ai,http://logo.bigpicture.io/logo/kore.ai,"Orlando, Florida, United States of America"
EvolutionaryScale,142,https://www.evolutionaryscale.ai,evolutionaryscale.ai,EvolutionaryScale,"['Bioinformatics', 'Biotechnology', 'Health Care', 'B2B']",Company behind ESM3,2023,Business Support Services,Support Services,31,11-50,$0-$1M,142000000,company/evolutionaryscale,,organization/evolutionaryscale,http://logo.bigpicture.io/logo/evolutionaryscale.ai,"New York, United States of America"
WEKA,140,https://www.weka.io,weka.io,"WekaIO, Inc.","['Artificial Intelligence (AI)', 'Cloud Storage', 'Data Center', 'Data Management', 'Software', 'Web Hosting']","WEKA helps data-driven organizations seamlessly and sustainably store, process, and manage data virtually anywhere with cloud simplicity and on-prem performance. Our software-defined, cloud-native data platform turns stagnant data silos into streaming data pipelines that fuel next-generation workloads like AI and HPC.",2013,Software,Software & Computer Services,351,201-500,,415100000,company/weka-io,WekaIO,organization/weka-io,http://logo.bigpicture.io/logo/weka.io,"Campbell, California, United States of America"
Enfabrica,125,https://enfabrica.net,enfabrica.net,Enfabrica Corp,"['Artificial Intelligence (AI)', 'Information Technology', 'Software', 'B2B', 'B2G']",We develop the foundational fabric devices and technologies for the age of AI and accelerated computing at scale.,2019,Software,Software & Computer Services,126,51-200,$10M-$50M,125000000,company/acebinfra1,,organization/enfabrica,http://logo.bigpicture.io/logo/enfabrica.net,"Mountain View, California, United States of America"
Etched,120,https://www.etched.com,etched.com,"Etched.ai, Inc.","['Computer', 'Hardware']","By burning the transformer architecture into our chips, we’re creating the world’s most powerful servers for transformer inference.",2022,Computer Hardware,Technology Hardware & Equipment,31,11-50,$1M-$10M,125360000,company/etched-ai,,organization/etched-ai,http://logo.bigpicture.io/logo/etched.com,"San Francisco, California, United States of America"
Hailo,120,https://hailo.ai,hailo.ai,Hailo Technologies Ltd,"['B2G', 'Artificial Intelligence (AI)', 'Augmented Reality', 'Embedded Systems', 'Machine Learning', 'Semiconductor', 'B2B']","Hailo’s mission is to enable smart edge technologies to reach their full potential. Our solutions bridge the gap between existing and future AI technologies, providing the compute capacity needed to power these applications. Our industry-leading edge AI processors feature high compute power at a high power efficiency and cost efficiency. One small, low-power and self-contained chip can process high-resolution videos in real-time or multiple video streams and neural network models simultaneously, all within a small power budget and rigid heat dissipation constraints. Our product portfolio includes AI accelerators and AI vision processors . We offer a range of standard form-factor modules and an on-PCB design track, as well as a robust and mature software toolchain. Based in Tel-Aviv with offices in the US, Germany, Greater China, Japan, Korea, and Taiwan, we are growing and expanding our worldwide partner ecosystem. Our novel, patented dataflow architecture is already implemented in 100s of customer programs across industries, including Automotive, Security, Smart City, Industry 4.0, Smart Retail, and more. Email us at contact@hailo.ai",2017,Semiconductors,Technology Hardware & Equipment,351,201-500,,343931287,company/hailo-ai,Hailo_ai,organization/hailo-technologies,http://logo.bigpicture.io/logo/hailo.ai,"Tel Aviv, Israel"
Vast Data,118,https://www.vastdata.com,vastdata.com,"VAST Data, Inc.","['Artificial Intelligence (AI)', 'Database', 'Software', 'B2G']","Meet the data platform company for the AI era. Accelerating time-to-insight for workload-intensive applications, the VAST Data Platform delivers scalable performance, radically simple data management and enhanced productivity for the AI-powered world. Launched in 2019, VAST is the fastest-selling data infrastructure startup in history.",2016,Software,Software & Computer Services,751,501-1K,,381000000,company/vast-data,VAST_Data,organization/vast-data,http://logo.bigpicture.io/logo/vastdata.com,"New York, United States of America"
Magic AI,117,https://magicai.ai,magicai.ai,"Magic AI, Inc.",[],Your new AI team mate who knows everything about your projects and your company.,2022,,,50,,,145000000,company/magical-ai,,organization/magical-ai,http://logo.bigpicture.io/logo/magicai.ai,"Seattle, Washington, United States of America"
