Company Name,Sum of Funding Amt (USD millions),Homepage,domain,legalName,tags,description,foundedYear,category.subIndustry,category.industry,metrics.employees,metrics.employeesRange,metrics.estimatedAnnualRevenue,metrics.raised,linkedin.handle,twitter.handle,crunchbase.handle,logo,Location,Key AI features,Notable use cases
Zhipu,340,https://www.zhipuai.cn,zhipuai.cn,"Beijing Zhipu Huazhang Technology Co., Ltd.","['Artificial Intelligence (AI)', 'Data Integration', 'Machine Learning', 'Software', 'B2C']","Zhipu AI is an artificial intelligence company with the mission of teaching machines to think like humans. Our world-leading AI team has developed the cutting-edge large language and multimodal models (e.g., ChatGLM, GLM-130B, CodeGeeX, CogVLM, and CogView) and built the high-precision billion-scale knowledge graphs, the combination of which uniquely empowers us to create a powerful data- and knowledge-driven cognitive engine towards AGI.",2019,Internet,Software & Computer Services,126,51-200,$10M-$50M,400000000,company/zhipuai,,organization/zhipu-ai,http://logo.bigpicture.io/logo/zhipuai.cn,"Haidian, Beijing, China",AIGC产品 (AI Generated Content); 模型 (Models),生成多样化的内容; 自然语言处理与理解; 客服智能化支持
Lambda,320,https://lambdalabs.com,lambdalabs.com,"Lambda, Inc.","['B2B', 'Artificial Intelligence (AI)', 'Cloud Computing', 'GPU', 'Hardware', 'Machine Learning', 'Software', 'B2C']","Lambda provides computation to accelerate human progress. We're a team of Deep Learning engineers building the world's best GPU cloud, clusters, servers, and workstations. Our products power engineers and researchers at the forefront of human knowledge. Customers include Intel, Microsoft, Google, Amazon Research, Tencent, Kaiser Permanente, MIT, Stanford, Harvard, Caltech, Los Alamos National Lab, Disney, and the Department of Defense.",2012,Software,Software & Computer Services,394,201-500,,932205501,company/lambda-labs,LambdaAPI,organization/lambda-labs,http://logo.bigpicture.io/logo/lambdalabs.com,"San Jose, California, United States of America",1-Click Clusters™ for on-demand GPU clusters; NVIDIA H100 Tensor Core GPUs; On-demand NVIDIA GPU instances for AI training and inference; Lambda Stack for deep learning software installation; Reserved Cloud with NVIDIA GH200 Superchips,Voltron Data leveraging Lambda Reserved Cloud for AI training & inference needs; Enterprise AI training with NVIDIA DGX Systems; Customizable Scalar Servers for machine learning workloads
DeepL,300,https://www.deepl.com,deepl.com,DeepL SE,"['Artificial Intelligence (AI)', 'Generative AI', 'Machine Learning', 'Software', 'Translation Service', 'B2C']","Since 2017, we’ve helped businesses and individuals thrive with the use of our AI translator. Our team of engineers, researchers, and language specialists has only expanded, enabling us to create even more solutions and tools to help you and your team succeed. With 30+ languages and counting, our portfolio of products includes a web translator, browser extensions, desktop and mobile apps, an API, and an AI writing tool, DeepL Write. We are constantly expanding our offerings to suit your organization’s needs, continuously improving our technology while leading the way in AI sphere, and always prioritizing data protection and security.",2017,Software,Software & Computer Services,1183,1K-5K,$100M-$250M,400000000,company/linkedin-com-company-deepl,DeepLcom,organization/linguee,http://logo.bigpicture.io/logo/deepl.com,"Koeln, Nordrhein-Westfalen, Germany",AI-powered translations; Speech translation; Grammar and punctuation correction in writing; Contextual understanding of languages; Multi-language document translation; Real-time text translation,"Translating documents in multiple formats (PDF, DOCX, PPTX, XLSX); Translating text across 33 languages; Editing and improving writing with DeepL Write; Speech translation via microphone input; Translation service integrated with various platforms (Google Workspace, Microsoft 365)"
Baichuan,300,https://www.baichuan-ai.com,baichuan-ai.com,"Beijing Baichuan Intelligent Technology Co., Ltd.","['Artificial Intelligence (AI)', 'Generative AI', 'Information Services', 'Software']","Beijing Baichuan AI Technology Co. Ltd. operates artificial intelligence technology development businesses. The Company develops artificial intelligence public data platforms, artificial intelligence benchmark testing platforms, and other products. Beijing Baichuan AI Technology conducts businesses in China.",2023,Computer Services,Software & Computer Services,31,11-50,$1M-$10M,350000000,company/baichun-ai,,organization/baichuan-intelligence,http://logo.bigpicture.io/logo/baichuan-ai.com,"Beijing, China",长窗口; 多模态; 强化学习; 搜索增强; 高性价比; 中英双语; 开源可商用; 低成本部署; 个性化角色定制; 高逻辑能力; 指令跟随能力,内容创作提升20%; 知识问答提升17%; 角色扮演能力提升40%; 企业场景智能体创建; 多轮对话; 文章摘要; 代码生成; 数学与逻辑推理
Cyera,300,https://www.cyera.io,cyera.io,Cyera US Inc.,"['Artificial Intelligence (AI)', 'Cloud Data Services', 'Cloud Security', 'Cyber Security', 'B2B']","Know your data. Keep it secure. Awards and accolades: 2023 Data Security Platform of the Year - Data Breakthrough Awards 2023 Cloud Data Security Product of the year - Cloud Computing Magazine 2022 Best Data Security Solution - CISO Choice Awards Cyera at a glance: Cyera is the data security company that gives businesses context and control over their most valuable asset: data. As a pioneer in Data Security Posture Management (DSPM), Cyera instantly provides companies visibility over all of their sensitive data, context over the risk it represents & their security exposure, and automated remediation to reduce the attack surface and ensure operational resilience. We are redefining the way companies secure their data. How Cyera is different: Cyera takes a data-centric approach to security, assessing the exposure to your sensitive data, everywhere. Our DataGraph automatically and continuously learns from your environment, assessing your threat surface, data access, and security controls across multiple dimensions of risk. Because Cyera applies deep data context holistically across your data landscape, we are the only solution that can empower security teams to know where their data is, what exposes it to risk, and take immediate action to remediate exposures and assure compliance without disrupting the business. Why your business needs Cyera: Mass migration to multi-cloud and work from anywhere has broken traditional security. It has never been easier for siloed projects, rapid dev cycles, or human error to result in a data breach or ransomware attack. Cyera dynamically develops deep context about the sensitive data across your hybrid cloud landscape, assessing your threat surface, data access, and security controls and quickly remediating exposures to your most valuable & vulnerable data. Case Studies: Healthcare - https://www.cyera.io/use-case/healthcare Finance - https://www.cyera.io/use-case/finance Tech - https://www.cyera.io/use-case/technology",2021,,Software & Computer Services,282,201-500,,464500000,company/cyera,cyera_io,organization/cyera,http://logo.bigpicture.io/logo/cyera.io,"New York, United States of America",AI-powered classification with 95%+ precision; Proprietary LLM for data classification; Agentless deployment technology; AI & ML capabilities for ongoing data oversight,"Discover and classify data across on-prem, IaaS, PaaS, and SaaS environments; Define data policies for compliance and governance; Monitor and respond to data risks and exposures; Conduct data risk assessments and incident response services"
Generate Biomedicines,273,https://generatebiomedicines.com,generatebiomedicines.com,"Generate Biomedicines, Inc.","['Biotechnology', 'Health Care', 'Medical', 'Product Research', 'B2B']",Pioneering generative biology to create breakthrough therapeutics.,2018,,Pharmaceuticals & Biotechnology,351,201-500,,693000000,company/generate-biomedicines,generate_biomed,organization/generate-biomedicines,http://logo.bigpicture.io/logo/generatebiomedicines.com,"Somerville, Massachusetts, United States of America",Generative biology; Machine learning-based prediction of protein functions; On-demand medicine generation; Analysis of millions of proteins to derive generalizable rules,"Generating novel medicines with specific therapeutic functions; Rapid development of antibodies, peptides, and enzymes; Enhancing drug discovery success rates; Creating stealth proteins for immune evasion"
Augment,252,https://www.augment.co,augment.co,Augment AI Corp,"['B2C', 'Artificial Intelligence (AI)', 'Productivity Tools']","Augment amplifies productivity and simplifies lives through a first-of-its-kind context-aware AI. It learns who and what's important to you, and how you like to work, in order to make you smarter and more productive. It becomes an extension of you, enabling you to be the most efficient version of yourself, all alongside the apps you know and love. We’re a fast-growing startup still operating in stealth backed by Flying Fish, JazzVP, Incisive Ventures & the Allen Institute for Artificial Intelligence. We’re hiring engineers and designers! Apply now at www.augment.co/careers Sign up to be the first to get your hands on our product - www.augment.co Read more about Augment in these media articles: https://www.fastcompany.com/90790402/augment-ai-assistant-siri-alex-google-assistant https://techcrunch.com/2022/09/20/augments-personalized-ai-assistant-could-help-you-keep-track-of-a-scattered-digital-life/ https://www.geekwire.com/2022/stealthy-ai2-spinout-led-by-napster-co-founder-unveils-ai-powered-sidekick/ https://www.geekwire.com/2022/napster-co-founder-leads-secretive-seattle-startup-that-just-raised-3-5m-to-supercharge-productivity/ and check out our ideas: https://blog.augment.co Follow us on social media: https://twitter.com/augmentai https://www.facebook.com/augmentco",2021,Software,Software & Computer Services,11,11-50,$1M-$10M,3450000,company/augmentco,augmentai,organization/augment-ai-corp,http://logo.bigpicture.io/logo/augment.co,"Seattle, Washington, United States of America",AI-driven meeting transcription; Personalized summaries based on user context; Automatic capture of important information; Works seamlessly across multiple platforms; AI-powered document searching; Speaker detection feature; AI highlighter for key information; Contextual learning from user interactions,Transcribing meetings in real-time; Summarizing blog posts from user headlines; Generating personalized follow-up lists based on calendar and usage; Enhancing productivity through context-aware assistance; Simplifying document searches with AI assistance; Providing quick access to meeting notes and past discussions
Perplexity,250,https://www.perplexity.ai,perplexity.ai,"Perplexity AI, Inc.","[‘Artificial Intelligence (AI)’, ‘Search Engine Tool’]",Perplexity AI develops advanced AI-powered search and question-answering technologies.,2022,Search Technology,Artificial Intelligence,50,11-50,,,company/perplexity-ai,,organization/perplexity-ai,,"San Francisco, California, United States",,
Rivos,250,https://www.rivosinc.com,rivosinc.com,Rivos Inc.,"['Hardware', 'Industrial Manufacturing', 'Manufacturing', 'Web Hosting']","Rivos, a high performance RISC-V System Startup targeting integrated system solutions for Enterprise",2021,Computer Hardware,Technology Hardware & Equipment,330,201-500,,250000000,company/rivos-inc,,organization/rivos-inc,http://logo.bigpicture.io/logo/rivosinc.com,"Santa Clara, California, United States of America",power efficient solutions; high performance computing; secure server technology; workload-defined hardware,building AI hardware infrastructure; optimizing performance for AI workloads; enhancing security in AI-driven environments
Divergent Technologies,230,https://www.divergent3d.com,divergent3d.com,Divergent 3D,"[‘B2B’, ‘Software’]","Divergent has created the world's first end-to-end software-hardware production system for industrial digital manufacturing – the Divergent Adaptive Production System (DAPS™) – allowing customers to design, additively manufacture, and automatically assemble complex structures for automotive, aerospace, and defense applications. DAPS transforms the economics and environmental impact of manufacturing complex structures for vehicles of all types by optimizing designs, dematerializing structures, and eliminating upfront capex.",2013,Internet,Software & Computer Services,351,201-500,,,company/divergent3d,,organization/divergent3d,http://logo.bigpicture.io/logo/divergent3d.com,"Torrance, California, United States of America",Data-driven design approach; Automated computational engineering; Additive manufacturing; Modular digital factory,Transforming auto manufacturing economics; Reducing environmental impact; Seamless transition between different vehicle models manufacturing; Quality management aligned with international standards
Rebellions,224,https://rebellions.ai,rebellions.ai,Rebellions Inc,"['Artificial Intelligence (AI)', 'Machine Learning', 'Semiconductor', 'Software']",Enabling the Accelerated Generative AI at Scale,2020,Semiconductors,Technology Hardware & Equipment,126,51-200,$10M-$50M,212409546,company/rebellions-ai,,organization/rebellions-ai,http://logo.bigpicture.io/logo/rebellions.ai,"San Jose, California, United States of America",5nm Versatile Inference SoC (ATOM™); Scalable AI Compute Core (ION™); Energy-efficient AI chip architecture; Real-time AI demonstrations; Integration of AI chips with generative AI solutions,High-performance computing for machine learning applications; Energy-efficient AI solutions for data centers; Co-development of AI chips with partners like Samsung Electronics; Support for Large Language Models (LLMs) in communication; Tailored AI inference solutions for specific industry challenges
Helsing,223,https://helsing.ai,helsing.ai,Helsing GmbH,"['Artificial Intelligence (AI)', 'Information Technology', 'Military', 'Software', 'B2G']","Helsing is a new type of security and artificial intelligence company. We believe that software – and, in particular, artificial intelligence – will be the key capability to keep liberal democracies from harm. Our ambition is to achieve global technology leadership in real-time information processing, turning unstructured sensor data into information advantage for democratic governments. Our platform aims to provide the clearest picture possible in any operating environment. We’re looking for people with their heart in the right place, who share our conviction that liberal democratic values are worth protecting, for ourselves and for future generations.",2021,Software,Software & Computer Services,351,201-500,$50M-$100M,341115700,company/helsing,HelsingAI,organization/helsing,http://logo.bigpicture.io/logo/helsing.ai,"Berlin, Germany",AI-driven defence collaboration; Software-first approach; Integration of advanced AI with existing and new hardware platforms; Ethical standards in AI deployment,Enhancing military effectiveness using AI; Supporting democratic societies with AI technology; Collaboration with government defense agencies for AI integration; Technological leadership for sovereign decision-making
H (fka Holistic AI),220,https://www.holisticai.com,holisticai.com,Holistic AI Inc,"['Artificial Intelligence (AI)', 'Compliance', 'Risk Management', 'Software', 'B2G', 'B2B']","Holistic AI empowers enterprises to adopt and scale AI with transparency, accountability, and safety. Its comprehensive and modular AI Governance platform serves as the single source of truth on AI usage across organizational use-cases, helping mitigate risks, reduce time to value on AI projects, and improve performance baselines. With role-based dashboards for risk posture management, automated workflows, AI discovery and inventory, the platform empowers enterprises to create, operate, and innovate confidently while ensuring regulatory compliance.",2020,Software,Software & Computer Services,126,51-200,$10M-$50M,,company/holisticai,,organization/holistic-ai,http://logo.bigpicture.io/logo/holisticai.com,"London, England, United Kingdom",AI Governance Platform; AI Safeguard for Generative AI; AI Audit for technology trust; AI Tracker for staying updated on regulations,AI Risk Posture Reporting; AI Inventory Management; AI 3rd Party Vendor Management; AI Conformity Assessment; AI Bias Assessment
Imbue,212,https://imbue.com,imbue.com,"Generally Intelligent, Inc.","['Artificial Intelligence (AI)', 'Generative AI', 'Machine Learning', 'Robotics']","We build AI systems that can reason, in order to enable AI agents that can accomplish larger goals and safely work for us in the real world. To do this, we train foundation models optimized for reasoning. On top of our models, we prototype agents to accelerate our own work, seriously using them in order to shed light on how to improve the underlying model capabilities, as well as the interaction design for agents. We aim to rekindle the dream of the *personal* computer—for computers to be truly intelligent tools that empower us, giving us freedom, dignity, and agency to do the things we love.",2021,Software,Software & Computer Services,70,51-200,,232000000,company/imbue-ai,genintelligent,organization/generally-intelligent,http://logo.bigpicture.io/logo/imbue.com,"San Francisco, California, United States of America",70B-parameter model; Fine-tuned on multiple-choice reasoning benchmarks; AI agents for translating ideas into code,Translating user ideas into functional code with AI agents
Together AI,206,https://www.together.ai,together.ai,Together Computer Inc,"['Artificial Intelligence (AI)', 'Generative AI', 'Internet', 'IT Infrastructure', 'Open Source', 'B2G']","Together AI is a research-driven artificial intelligence company. We contribute leading open-source research, models, and datasets to advance the frontier of AI. Our decentralized cloud services empower developers and researchers at organizations of all sizes to train, fine-tune, and deploy generative AI models. We believe open and transparent AI systems will drive innovation and create the best outcomes for society.",2022,Software,Software & Computer Services,126,51-200,,228500000,company/togethercomputer,togethercompute,organization/together-1a7e,http://logo.bigpicture.io/logo/together.ai,"San Francisco, California, United States of America",Cutting edge research; Ability to run 100+ open-source models; Fine-tune generative AI models with proprietary data; High-performance GPU clusters; Optimized for distributed training; Flexible model deployment options; Serverless deployment; Performance and cost efficiency; Model diversity featuring various architectures; Advanced algorithms like Cocktail SGD and FlashAttention-3,Building generative AI applications; Creating next-gen text-to-video models; Developing cybersecurity models; Training domain-adaptive language models; Fine-tuning customer support models; Large scale fine-tuning and training on proprietary data; Leveraging high-performance infrastructure for rapid model training
The DNEG Group,200,https://www.dneg.com,dneg.com,Double Negative Limited,"['B2B', 'Advertising', 'Digital Entertainment', 'Film', 'Motion Capture', 'B2C']","DNEG is a world-leading visual entertainment services company for the creation of feature film, television, and multiplatform content, with worldwide offices and studios across North America, Europe, Asia, and Australia. DNEG’s critically acclaimed work has earned the company seven Academy Awards® for Best Visual Effects and numerous BAFTA, Primetime EMMY® Awards and VES Awards for its high-quality VFX work. Visit www.dneg.com for DNEG’s current and upcoming projects on behalf of Hollywood and global studio and production company.",1998,Broadcasting & Entertainment,Media,6244,5K-10K,,850000000,company/dnegvfx,dneg,organization/double-negative,http://logo.bigpicture.io/logo/dneg.com,"Fitzrovia, London, United Kingdom",AI-driven visual effects enhancement; Machine learning for animation; Deep learning for image recognition; AI in immersive experience creation; Automated content generation,Creating realistic visual effects for films and TV shows; Developing high-end animated feature films; Providing immersive experiences through VR and AR technologies; Enhancing film production with AI-assisted tools; Generating on-the-fly animated content for interactive media
Glean,200,https://www.glean.com,glean.com,"Glean Technologies, Inc.","['Artificial Intelligence (AI)', 'Generative AI', 'Machine Learning', 'SaaS', 'Search Engine', 'B2C']","Generative AI powered by search. Glean is the AI-powered work assistant— across all your company's data. 🔍 Answers grounded in your enterprise knowledge graph. 🔒 Responsible AI for your enterprise. ⚡ Easy to use, ready to go— right out of the box.",2019,Software,Software & Computer Services,520,501-1K,$100M-$250M,358200000,company/gleanwork,glean,organization/scio-technologies,http://logo.bigpicture.io/logo/glean.com,"Palo Alto, California, United States of America",Knowledge graph; Advanced personalization; Retrieval Augmented Generation (RAG); Glean Apps; Glean APIs; Responsible AI; Turnkey implementation; LLM choice; Scalable infrastructure,"Create no-code custom generative AI agents, assistants, and chatbots; Build custom AI applications grounded in company data; Quick information retrieval across all enterprise data; Improving decision-making speed and accuracy; Facilitating onboarding and knowledge sharing among team members; Cross-platform search capabilities for integrated content access"
Waabi,200,https://waabi.ai,waabi.ai,Waabi Innovation Inc.,"['Artificial Intelligence (AI)', 'Automotive', 'Autonomous Vehicles', 'Machine Learning', 'B2B']","Waabi, founded by AI pioneer and visionary Raquel Urtasun, is an AI company building the next generation of self-driving technology. With a world class team and an innovative approach that unleashes the power of AI to “drive” safely in the real world, Waabi is bringing the promise of self-driving closer to commercialization than ever before. Waabi is backed by best-in-class investors across the technology, logistics and the Canadian innovation ecosystem, including Khosla Ventures, Uber, 8VC, Radical Ventures, OMERS Ventures and BDC Capital’s Women in Technology Venture Fund. To learn more visit: waabi.ai Press: press@waabi.ai Business: partnership@waabi.ai",2021,Trucking,Industrial Transportation,126,51-200,,282553410,company/waabi,Waabi_ai,organization/waabi,http://logo.bigpicture.io/logo/waabi.ai,"Toronto, Ontario, Canada",Generative AI technology; End-to-end trained AI stack; Interpretable architecture; Adaptive to unseen scenarios; Closed-loop simulation engine; Highly-scalable simulation environment,Autonomous trucking; Streamlining development across hardware and software teams; Reducing costs and time for vehicle testing; Integration into factory-level OEM solutions; Large-scale commercialization of self-driving technology
Abridge,180,https://www.abridge.com,abridge.com,Abridge AI Inc.,"['Artificial Intelligence (AI)', 'Clinical Trials', 'Health Care', 'Machine Learning', 'Medical', 'B2C', 'B2B']","Abridge was founded in 2018 with the mission of powering deeper understanding in healthcare. Our AI-powered platform was purpose-built for medical conversations, improving clinical documentation efficiencies while enabling clinicians to focus on what matters most—their patients. Our enterprise-grade technology transforms patient-clinician conversations into structured clinical notes in real-time, with deep EMR integrations. Powered by Linked Evidence and our purpose-built, auditable AI, we are the only company that maps AI-generated summaries to ground truth, helping providers quickly trust and verify the output. As pioneers in generative AI for healthcare, we are setting the industry standards for the responsible deployment of AI across health systems.",2018,Health Care Providers,Health Care Equipment & Services,126,51-200,,207500000,company/abridgehq,AbridgeHQ,organization/abridge-d1a4,http://logo.bigpicture.io/logo/abridge.com,"Pittsburgh, Pennsylvania, United States of America",Generative AI for clinical conversations; Real-time transformation of conversations into structured clinical notes; Clinically accurate summaries across 50+ specialties; Multi-language support (14+ languages); 91% AI-generated clinical note drafts; Integration with Epic systems; Auditable AI technology,Reduction of documentation time for clinicians (saving 70+ hours/month); Improvement of clinician-patient interaction by minimizing clerical work; Support for decision-making with accurate clinical note generation across various specialties; Facilitation of multitasking for clinicians within the Epic ecosystem
